brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti,Maruti Swift,11,92182,Dealer,Diesel,Manual,17.8,1248,75.0,5,2.95
Maruti,Maruti Ignis,4,47063,Dealer,Petrol,Manual,20.89,1197,81.8,5,5.25
Maruti,Maruti Baleno,2,20000,Individual,Diesel,Manual,27.39,1248,74.0,5,6.65
Maruti,Maruti Ciaz,3,15000,Dealer,Petrol,Manual,20.65,1462,103.25,5,8.0
Maruti,Maruti Swift Dzire,13,115000,Individual,Petrol,Manual,17.5,1298,85.8,5,2.5
Maruti,Maruti Ertiga,5,61149,Dealer,Petrol,Manual,19.01,1462,103.26,7,7.55
Hyundai,Hyundai Verna,2,14200,Dealer,Petrol,Manual,17.0,1591,121.3,5,9.45
Hyundai,Hyundai i20,3,16000,Dealer,Petrol,Manual,17.19,1197,81.86,5,7.5
Maruti,Maruti Ertiga,8,187420,Dealer,Diesel,Manual,20.77,1248,88.8,7,6.7
Maruti,Maruti Ciaz,6,49986,Dealer,Diesel,Manual,26.21,1248,88.5,5,6.1
Hyundai,Hyundai Grand,4,25000,Individual,Petrol,Manual,18.9,1197,81.86,5,5.0
Maruti,Maruti Ertiga,7,96000,Dealer,Diesel,Manual,20.77,1248,88.76,7,6.65
Maruti,Maruti Ertiga,5,20000,Individual,CNG,Manual,17.5,1373,80.46,7,8.25
Maruti,Maruti Swift,5,38000,Individual,Diesel,Manual,25.2,1248,74.0,5,6.25
Toyota,Toyota Innova,13,190000,Dealer,Diesel,Manual,12.8,2494,102.0,8,4.0
Hyundai,Hyundai Santro,2,7000,Dealer,Petrol,Manual,20.3,1086,68.07,5,5.1
Ford,Ford Figo,8,46000,Dealer,Diesel,Manual,20.0,1399,68.05,5,2.94
Tata,Tata Tigor,3,10000,Individual,Petrol,Manual,20.3,1199,84.0,5,6.5
Maruti,Maruti Swift Dzire,9,79000,Individual,Diesel,Manual,23.4,1248,74.0,5,4.98
Maruti,Maruti Alto,4,70000,Individual,Petrol,Manual,24.07,998,67.1,5,3.0
Maruti,Maruti Swift,9,85000,Individual,Diesel,Manual,22.9,1248,74.0,5,4.0
Hyundai,Hyundai i20,10,88000,Dealer,Diesel,Manual,23.0,1396,90.0,5,3.25
Maruti,Maruti Alto,7,16600,Dealer,Petrol,Manual,22.74,796,47.3,5,2.65
Tata,Tata Tiago,4,40000,Individual,Petrol,Manual,23.84,1199,84.0,5,4.65
Honda,Honda City,8,37000,Dealer,Petrol,Manual,17.0,1497,118.0,5,4.86
Toyota,Toyota Innova,10,125000,Dealer,Diesel,Manual,12.8,2494,102.0,7,6.75
Honda,Honda City,3,18000,Dealer,Diesel,Manual,26.0,1498,98.6,5,11.5
Toyota,Toyota Innova,14,95000,Dealer,Diesel,Manual,12.8,2494,102.0,8,4.74
Honda,Honda City,6,35000,Individual,Petrol,Manual,17.4,1497,117.3,5,7.5
Hyundai,Hyundai i20,11,49000,Dealer,Petrol,Manual,18.5,1197,80.0,5,2.6
Renault,Renault KWID,4,19000,Dealer,Petrol,Manual,25.17,799,53.3,5,3.35
Honda,Honda City,13,165000,Individual,Petrol,Manual,16.8,1497,116.4,5,3.0
Maruti,Maruti Swift,9,120000,Individual,Diesel,Manual,22.9,1248,74.0,5,3.8
Mahindra,Mahindra KUV100,4,12950,Dealer,Petrol,Manual,18.15,1198,82.0,6,3.99
Mini,Mini Cooper,8,35000,Dealer,Diesel,Automatic,23.8,1998,112.0,5,14.9
Skoda,Skoda Rapid,5,47000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,7.0
Hyundai,Hyundai Creta,5,71000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,10.8
Honda,Honda WR-V,3,40000,Individual,Diesel,Manual,25.5,1498,98.6,5,10.0
Hyundai,Hyundai Santro,8,29000,Dealer,Petrol,Manual,17.92,1086,62.1,5,2.5
Hyundai,Hyundai Creta,4,31191,Dealer,Petrol,Manual,13.0,1591,121.3,5,9.85
Maruti,Maruti Ertiga,5,50000,Individual,Diesel,Manual,24.52,1248,88.5,7,9.5
Renault,Renault KWID,4,19200,Dealer,Petrol,Automatic,24.04,999,67.0,5,3.49
Renault,Renault Duster,8,72396,Dealer,Diesel,Manual,19.01,1461,108.45,5,5.28
Volkswagen,Volkswagen Vento,10,164000,Individual,Diesel,Manual,20.54,1598,103.6,5,3.5
Maruti,Maruti Baleno,5,14500,Dealer,Petrol,Manual,21.4,1197,83.1,5,5.6
BMW,BMW 5,10,60000,Dealer,Diesel,Automatic,18.48,1995,177.0,5,11.99
Toyota,Toyota Innova,15,110000,Dealer,Diesel,Manual,12.8,2494,102.0,7,3.9
Renault,Renault KWID,4,20000,Individual,Petrol,Manual,23.01,999,67.0,5,3.5
Jaguar,Jaguar XF,5,20837,Dealer,Diesel,Automatic,19.33,1999,177.0,5,34.5
Datsun,Datsun GO,5,40000,Individual,Petrol,Manual,19.44,1198,67.0,7,4.0
Jeep,Jeep Compass,4,35000,Individual,Diesel,Manual,17.1,1956,170.0,5,16.0
Hyundai,Hyundai Verna,5,66523,Dealer,Diesel,Manual,23.9,1582,126.2,5,7.75
Hyundai,Hyundai Elantra,8,34800,Dealer,Petrol,Automatic,14.5,1797,147.5,5,6.75
Maruti,Maruti Swift Dzire,11,87000,Dealer,Diesel,Manual,19.3,1248,73.9,5,3.25
Skoda,Skoda Superb,11,64430,Dealer,Petrol,Automatic,13.7,1798,157.75,5,3.75
Jaguar,Jaguar XF,7,26000,Dealer,Diesel,Automatic,16.36,2179,187.7,5,25.5
Honda,Honda Amaze,7,110000,Individual,Diesel,Manual,25.8,1498,98.6,5,3.75
Maruti,Maruti Eeco,2,7647,Dealer,Petrol,Manual,16.11,1196,72.42,5,4.65
Maruti,Maruti Alto,15,15000,Individual,Petrol,Manual,19.7,796,46.3,5,1.2
Mercedes-Benz,Mercedes-Benz E-Class,12,78000,Individual,Diesel,Automatic,14.21,2143,203.0,5,6.6
BMW,BMW X3,8,110000,Dealer,Diesel,Automatic,16.09,1995,184.0,5,13.9
Hyundai,Hyundai Verna,4,70000,Individual,Petrol,Manual,17.01,1591,121.3,5,8.5
Ford,Ford Figo,10,18800,Individual,Petrol,Manual,15.6,1196,70.0,5,2.25
Volkswagen,Volkswagen Vento,6,102000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,5.9
Volkswagen,Volkswagen Vento,5,110000,Individual,Diesel,Automatic,22.15,1498,108.6,5,7.5
Toyota,Toyota Innova,3,27000,Dealer,Diesel,Automatic,13.68,2393,147.51,8,18.9
Maruti,Maruti Eeco,5,16000,Dealer,Petrol,Manual,15.37,1196,73.0,5,3.85
Volkswagen,Volkswagen Vento,6,48000,Dealer,Diesel,Manual,20.34,1498,103.2,5,4.9
Volkswagen,Volkswagen Polo,9,58200,Dealer,Petrol,Manual,16.47,1198,73.9,5,3.25
Mercedes-Benz,Mercedes-Benz C-Class,13,57000,Dealer,Petrol,Manual,11.7,1796,178.0,5,4.25
Hyundai,Hyundai Verna,9,88221,Dealer,Diesel,Manual,22.32,1582,126.32,5,5.11
Hyundai,Hyundai i10,11,70000,Individual,Petrol,Manual,19.81,1086,68.05,5,1.99
Volkswagen,Volkswagen Polo,6,49000,Dealer,Petrol,Automatic,17.21,1197,103.5,5,6.21
Honda,Honda City,9,37000,Dealer,Petrol,Manual,17.4,1497,117.6,5,4.25
Maruti,Maruti Celerio,3,30700,Dealer,Petrol,Manual,21.63,998,67.0,5,5.21
Skoda,Skoda Octavia,5,68387,Dealer,Diesel,Automatic,19.3,1968,141.0,5,9.5
Honda,Honda Jazz,5,60000,Individual,Diesel,Manual,27.3,1498,98.6,5,5.75
Mercedes-Benz,Mercedes-Benz S-Class,10,57000,Dealer,Petrol,Automatic,10.13,3498,364.9,5,18.5
Toyota,Toyota Fortuner,4,70000,Dealer,Diesel,Manual,14.24,2755,174.5,7,25.5
Hyundai,Hyundai i20,4,60000,Individual,Diesel,Manual,22.54,1396,88.73,5,7.8
Toyota,Toyota Fortuner,8,170000,Dealer,Diesel,Automatic,12.55,2982,168.5,7,14.35
Maruti,Maruti Ciaz,5,31000,Dealer,Petrol,Manual,20.73,1373,91.1,5,6.0
Volkswagen,Volkswagen Polo,8,92000,Dealer,Petrol,Automatic,17.2,1197,103.6,5,5.4
Volkswagen,Volkswagen Polo,8,33000,Dealer,Petrol,Manual,16.47,1198,73.9,5,3.95
Maruti,Maruti Swift Dzire,10,88000,Dealer,Diesel,Manual,19.3,1248,73.9,5,3.65
Ford,Ford Figo,9,69000,Dealer,Diesel,Manual,20.0,1399,68.05,5,2.25
Maruti,Maruti Swift,3,24000,Dealer,Diesel,Automatic,28.4,1248,74.0,5,7.5
Volkswagen,Volkswagen Vento,6,26000,Dealer,Petrol,Automatic,16.93,1197,103.2,5,6.45
Maruti,Maruti Swift Dzire,4,35000,Individual,Diesel,Manual,28.4,1248,74.02,5,7.5
Maruti,Maruti Alto,29,22612,Dealer,Petrol,Manual,22.05,796,47.3,5,0.6
Renault,Renault KWID,3,10000,Individual,Petrol,Manual,23.01,999,67.0,5,3.5
Maruti,Maruti Alto,7,40000,Individual,Petrol,Manual,22.74,796,47.3,5,1.66
Mahindra,Mahindra Bolero,6,150000,Dealer,Diesel,Manual,15.96,2523,62.1,7,5.5
Hyundai,Hyundai Verna,15,70000,Individual,Diesel,Manual,16.8,1493,110.0,5,1.25
Tata,Tata Nexon,2,5000,Dealer,Petrol,Automatic,17.0,1198,108.5,5,9.31
Volkswagen,Volkswagen Polo,10,65894,Dealer,Petrol,Manual,16.47,1198,73.9,5,3.75
Volkswagen,Volkswagen Polo,7,42000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,6.1
BMW,BMW 3,11,96000,Dealer,Diesel,Automatic,22.69,1995,190.0,5,9.74
Renault,Renault KWID,6,45006,Dealer,Petrol,Manual,25.17,799,53.3,5,2.69
Maruti,Maruti Swift Dzire,10,51000,Dealer,Petrol,Manual,17.5,1197,85.8,5,3.4
Tata,Tata Hexa,4,30000,Individual,Diesel,Automatic,17.6,2179,153.86,7,14.5
Hyundai,Hyundai Grand,4,22000,Dealer,Petrol,Manual,18.9,1197,81.86,5,4.85
Maruti,Maruti Vitara,3,32000,Dealer,Diesel,Manual,24.3,1248,88.5,5,9.2
Hyundai,Hyundai i20,3,39000,Individual,Petrol,Manual,18.6,1197,81.83,5,6.53
Ford,Ford Ecosport,4,14000,Dealer,Petrol,Manual,15.85,1499,110.4,5,6.5
Hyundai,Hyundai Grand,4,15000,Dealer,Petrol,Automatic,18.9,1197,81.86,5,5.81
Maruti,Maruti Ertiga,7,38000,Dealer,Petrol,Manual,16.02,1373,93.7,7,5.85
Hyundai,Hyundai i10,12,15000,Individual,Petrol,Manual,20.36,1197,78.9,5,1.65
Hyundai,Hyundai i10,9,50000,Dealer,Petrol,Manual,20.36,1197,78.9,5,3.11
Volkswagen,Volkswagen Polo,4,32000,Dealer,Diesel,Manual,20.14,1498,88.7,5,6.55
Maruti,Maruti Vitara,3,43000,Dealer,Diesel,Automatic,24.3,1248,88.5,5,9.75
Hyundai,Hyundai i20,9,76000,Dealer,Diesel,Manual,21.9,1396,88.76,5,3.85
Mercedes-Benz,Mercedes-Benz GL-Class,3,12000,Dealer,Diesel,Automatic,17.9,2143,167.6,5,45.9
Ford,Ford Ecosport,5,33000,Dealer,Petrol,Automatic,16.05,1499,110.4,5,7.45
Hyundai,Hyundai i20,3,20000,Dealer,Petrol,Automatic,17.4,1197,81.86,5,7.95
Maruti,Maruti Baleno,3,4700,Dealer,Petrol,Manual,21.01,1197,81.8,5,6.75
Hyundai,Hyundai i20,5,35000,Dealer,Petrol,Manual,17.19,1197,81.86,5,6.5
Mahindra,Mahindra XUV500,9,120000,Individual,Diesel,Manual,15.1,2179,140.0,7,6.0
Maruti,Maruti Alto,5,20000,Individual,Petrol,Manual,23.95,998,67.05,5,3.15
Hyundai,Hyundai Verna,11,72000,Dealer,Diesel,Manual,16.2,1493,110.0,5,4.1
Mini,Mini Cooper,7,29000,Dealer,Diesel,Automatic,23.8,1998,112.0,5,17.5
Maruti,Maruti Ciaz,6,67927,Dealer,Petrol,Manual,20.73,1373,91.1,5,6.5
Hyundai,Hyundai i20,2,34900,Dealer,Petrol,Manual,18.6,1197,81.83,5,7.1
Ford,Ford Ecosport,5,125000,Dealer,Diesel,Manual,22.77,1498,98.59,5,6.51
Ford,Ford Endeavour,4,79000,Dealer,Diesel,Automatic,10.91,3198,197.0,7,27.5
Maruti,Maruti Baleno,4,15000,Individual,Petrol,Manual,21.4,1197,83.1,5,6.0
Jeep,Jeep Compass,3,25000,Dealer,Petrol,Automatic,16.0,1368,160.0,5,17.0
Maruti,Maruti Ciaz,7,65000,Dealer,Petrol,Manual,20.73,1373,91.1,5,5.4
Maruti,Maruti Swift Dzire,5,120000,Individual,CNG,Manual,19.0,1197,85.8,5,3.25
Hyundai,Hyundai i20,7,47900,Dealer,Petrol,Automatic,15.0,1396,98.6,5,5.1
BMW,BMW X1,8,56000,Individual,Diesel,Automatic,17.05,1995,184.0,5,12.8
Toyota,Toyota Innova,9,120000,Individual,Diesel,Manual,12.8,2494,102.0,7,8.0
Maruti,Maruti Wagon R,7,61000,Dealer,Petrol,Manual,20.51,998,67.04,5,3.5
Toyota,Toyota Fortuner,10,175000,Dealer,Diesel,Manual,11.5,2982,171.0,7,10.75
Maruti,Maruti Alto,6,70000,Individual,Petrol,Manual,22.74,796,47.3,5,2.4
Hyundai,Hyundai i20,2,4000,Dealer,Petrol,Automatic,15.0,1396,100.0,5,8.75
Mahindra,Mahindra Bolero,4,60000,Individual,Diesel,Manual,16.5,1493,70.0,7,8.0
Maruti,Maruti Alto,3,5917,Dealer,Petrol,Manual,23.95,998,67.05,5,3.71
Skoda,Skoda Superb,10,56468,Dealer,Petrol,Manual,13.14,1798,157.8,5,4.79
Hyundai,Hyundai i20,4,41280,Dealer,Petrol,Manual,17.0,1197,80.0,5,5.85
Hyundai,Hyundai Grand,7,49000,Dealer,Petrol,Manual,18.9,1197,82.0,5,4.59
Honda,Honda WR-V,4,58000,Dealer,Diesel,Manual,25.5,1498,98.6,5,8.85
Hyundai,Hyundai Elantra,7,57000,Dealer,Diesel,Automatic,19.5,1582,126.24,5,7.85
BMW,BMW 5,8,55000,Dealer,Diesel,Automatic,18.48,1995,177.0,5,15.0
Hyundai,Hyundai i20,4,24000,Dealer,Diesel,Manual,22.54,1396,88.73,5,7.5
Maruti,Maruti Ertiga,6,50000,Individual,Diesel,Manual,20.77,1248,88.76,7,7.07
Maruti,Maruti Ertiga,7,51890,Dealer,CNG,Manual,17.5,1373,80.46,7,5.95
Honda,Honda City,14,58641,Dealer,Petrol,Manual,17.7,1497,78.0,5,1.95
Toyota,Toyota Innova,8,117000,Dealer,Diesel,Manual,12.99,2494,100.0,7,9.5
Maruti,Maruti Ciaz,4,25000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,7.95
Hyundai,Hyundai Grand,4,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,6.15
Mercedes-Benz,Mercedes-Benz C-Class,4,24323,Dealer,Diesel,Automatic,14.84,2143,167.62,5,33.75
Maruti,Maruti Baleno,3,21000,Dealer,Petrol,Manual,21.01,1197,81.8,5,7.31
Honda,Honda City,8,67000,Dealer,Petrol,Automatic,15.6,1497,116.3,5,4.75
Renault,Renault KWID,5,7000,Dealer,Petrol,Manual,22.3,799,53.26,5,3.25
Renault,Renault KWID,3,42000,Dealer,Petrol,Manual,23.01,999,67.0,5,4.0
Hyundai,Hyundai Verna,10,58000,Dealer,Petrol,Manual,17.1,1591,121.3,5,3.99
Maruti,Maruti Ciaz,4,31400,Dealer,Diesel,Manual,28.09,1248,88.5,5,7.85
Hyundai,Hyundai Creta,4,35000,Individual,Diesel,Manual,19.67,1582,126.2,5,11.25
Ford,Ford Ecosport,8,56260,Dealer,Petrol,Manual,18.88,999,123.37,5,4.99
Maruti,Maruti Wagon R,14,115000,Dealer,Petrol,Manual,21.79,998,67.05,5,1.1
Hyundai,Hyundai i10,8,34579,Dealer,Petrol,Manual,20.36,1197,78.9,5,2.95
Volkswagen,Volkswagen Vento,6,27000,Dealer,Petrol,Automatic,16.93,1197,103.2,5,6.65
Mercedes-Benz,Mercedes-Benz E-Class,11,70000,Individual,Petrol,Automatic,10.93,2497,204.0,5,10.0
Hyundai,Hyundai i20,4,20000,Dealer,Petrol,Manual,18.6,1197,81.83,5,6.9
Maruti,Maruti Alto,13,50000,Dealer,Petrol,Manual,19.7,796,46.3,5,1.45
Volkswagen,Volkswagen Vento,10,59526,Dealer,Diesel,Manual,20.54,1598,103.6,5,3.75
Maruti,Maruti Ciaz,3,25000,Dealer,Petrol,Manual,20.65,1462,103.25,5,7.65
Mahindra,Mahindra Bolero,6,62248,Dealer,Diesel,Manual,13.6,2523,63.0,7,6.5
Maruti,Maruti Ciaz,5,67518,Dealer,Diesel,Manual,28.09,1248,88.5,5,7.55
Maruti,Maruti Ertiga,7,54000,Dealer,CNG,Manual,22.8,1373,80.9,7,6.75
Toyota,Toyota Innova,7,92965,Dealer,Diesel,Manual,12.99,2494,100.57,7,10.25
Datsun,Datsun GO,6,22211,Dealer,Petrol,Manual,19.02,1198,67.05,5,2.49
Toyota,Toyota Innova,9,255000,Individual,Diesel,Manual,12.8,2494,102.0,8,7.25
Maruti,Maruti Swift,7,47000,Dealer,Diesel,Manual,22.9,1248,74.0,5,5.0
Honda,Honda Civic,13,57000,Dealer,Petrol,Automatic,13.9,1799,130.2,5,2.5
Renault,Renault KWID,4,8560,Dealer,Petrol,Automatic,24.04,999,67.0,5,3.71
Maruti,Maruti Swift Dzire,4,72000,Individual,Diesel,Manual,26.59,1248,74.0,5,7.2
Maruti,Maruti Wagon R,6,39983,Dealer,Petrol,Manual,21.79,998,67.05,5,4.25
Hyundai,Hyundai Grand,6,78000,Dealer,Petrol,Manual,18.9,1197,82.0,5,4.25
Ford,Ford Ecosport,1,6000,Dealer,Diesel,Manual,23.0,1498,98.96,5,10.95
Honda,Honda City,5,32000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,8.45
Hyundai,Hyundai Creta,6,81000,Dealer,Diesel,Manual,19.67,1582,126.2,5,9.75
Maruti,Maruti Dzire VXI,9,24000,Dealer,Petrol,Automatic,24.12,1197,88.5,5,4.11
Honda,Honda Amaze,8,64000,Dealer,Diesel,Manual,25.8,1498,98.6,5,3.96
Maruti,Maruti Baleno,3,22000,Dealer,Petrol,Manual,21.4,1197,83.1,5,7.5
Ford,Ford Figo,10,48971,Dealer,Diesel,Manual,20.0,1399,68.0,5,2.82
Maruti,Maruti Wagon R,6,40000,Individual,Petrol,Automatic,20.51,998,67.04,5,4.5
Mahindra,Mahindra XUV500,4,89200,Individual,Diesel,Automatic,16.0,2179,140.0,7,16.5
Hyundai,Hyundai Grand,4,16000,Dealer,Petrol,Manual,18.9,1197,82.0,5,4.9
Ford,Ford Ecosport,7,44406,Dealer,Petrol,Manual,18.88,999,123.24,5,6.5
Mahindra,Mahindra Bolero,11,25000,Individual,Diesel,Manual,13.6,2523,63.0,7,2.5
Datsun,Datsun GO,5,15000,Individual,Petrol,Manual,19.44,1198,67.0,7,3.5
Hyundai,Hyundai i20,4,27266,Dealer,Petrol,Manual,18.6,1197,81.83,5,7.0
Tata,Tata Safari,11,60893,Dealer,Diesel,Manual,11.57,2179,138.1,7,3.5
Honda,Honda Amaze,4,50000,Individual,Petrol,Manual,17.8,1198,86.7,5,5.5
Maruti,Maruti Swift,13,120000,Individual,Diesel,Manual,17.8,1248,75.0,5,2.5
Maruti,Maruti Swift Dzire,7,50000,Dealer,Petrol,Manual,20.85,1197,83.14,5,4.75
Mercedes-Benz,Mercedes-Benz C-Class,8,73000,Dealer,Diesel,Automatic,14.84,2143,170.0,5,10.75
Toyota,Toyota Innova,7,86000,Dealer,Diesel,Manual,12.8,2494,102.0,7,9.95
Datsun,Datsun RediGO,4,20000,Dealer,Petrol,Manual,22.5,999,67.0,5,2.71
Hyundai,Hyundai i10,9,62000,Dealer,Petrol,Manual,19.81,1086,68.05,5,2.55
Maruti,Maruti Ertiga,3,36352,Dealer,Petrol,Manual,19.34,1462,103.0,7,8.55
Maruti,Maruti Ciaz,6,48000,Dealer,Diesel,Manual,26.21,1248,88.5,5,6.85
Maruti,Maruti Swift,8,78278,Dealer,Diesel,Manual,22.9,1248,74.0,5,4.75
Volkswagen,Volkswagen Polo,6,100000,Individual,Diesel,Manual,20.14,1498,88.8,5,4.5
Toyota,Toyota Innova,5,53380,Dealer,Diesel,Automatic,13.68,2393,147.51,8,16.5
Tata,Tata Tigor,3,60204,Dealer,Diesel,Manual,24.7,1047,69.0,5,5.25
Hyundai,Hyundai i20,5,68000,Dealer,Diesel,Manual,22.54,1396,88.73,5,7.2
Maruti,Maruti Wagon R,11,75008,Dealer,Petrol,Manual,18.9,998,67.1,5,2.4
Ford,Ford Ecosport,3,29000,Dealer,Diesel,Manual,23.0,1498,98.96,5,9.4
Hyundai,Hyundai Verna,5,83000,Individual,Diesel,Manual,24.8,1396,88.7,5,7.75
Toyota,Toyota Innova,6,114000,Dealer,Diesel,Manual,12.99,2494,100.6,7,12.75
Hyundai,Hyundai i10,8,42000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,3.6
Toyota,Toyota Innova,6,117000,Dealer,Diesel,Manual,12.99,2494,100.6,8,11.55
Skoda,Skoda Superb,12,61205,Dealer,Petrol,Automatic,13.7,1798,157.75,5,4.49
Hyundai,Hyundai i20,9,87000,Dealer,Diesel,Manual,23.0,1396,90.0,5,4.6
Skoda,Skoda Rapid,5,49661,Dealer,Diesel,Automatic,21.66,1498,103.52,5,6.95
Hyundai,Hyundai i10,8,20000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,3.75
Maruti,Maruti Alto,7,56332,Dealer,Petrol,Manual,23.95,998,67.05,5,2.85
Tata,Tata Hexa,3,46000,Individual,Diesel,Manual,17.6,2179,153.86,7,12.25
Maruti,Maruti Swift,8,37000,Dealer,Petrol,Manual,18.6,1197,85.8,5,4.1
Honda,Honda Jazz,2,7000,Dealer,Petrol,Automatic,19.0,1199,88.7,5,8.21
Hyundai,Hyundai Grand,5,40000,Dealer,Petrol,Manual,18.9,1197,82.0,5,5.1
Ford,Ford Figo,10,570000,Dealer,Petrol,Manual,15.6,1196,70.0,5,2.0
Mahindra,Mahindra Scorpio,4,61000,Dealer,Diesel,Manual,15.4,1997,120.0,7,10.25
Maruti,Maruti Baleno,5,95000,Individual,Petrol,Manual,21.4,1197,83.1,5,5.5
Hyundai,Hyundai Elantra,3,18000,Dealer,Petrol,Automatic,14.62,1999,149.92,5,15.5
Maruti,Maruti Ciaz,6,67181,Dealer,Diesel,Manual,26.21,1248,88.5,5,6.79
Renault,Renault Duster,7,120000,Individual,Petrol,Manual,13.24,1598,102.57,5,5.45
Honda,Honda City,11,84768,Dealer,Petrol,Manual,17.0,1497,118.0,5,2.75
Maruti,Maruti Celerio,6,36000,Dealer,CNG,Manual,31.79,998,58.2,5,4.22
Mahindra,Mahindra Scorpio,5,49490,Dealer,Diesel,Manual,15.4,2179,120.0,7,9.75
Maruti,Maruti Ertiga,4,33072,Dealer,CNG,Manual,26.08,1462,91.19,7,7.9
Maruti,Maruti Ertiga,6,92457,Individual,Diesel,Manual,20.77,1248,88.8,7,6.99
Mahindra,Mahindra XUV500,7,114000,Dealer,Diesel,Manual,15.1,2179,140.0,7,6.9
Volkswagen,Volkswagen Polo,6,56606,Dealer,Petrol,Automatic,17.21,1197,103.6,5,6.62
Hyundai,Hyundai Verna,8,57800,Dealer,Petrol,Manual,17.1,1591,121.3,5,4.85
Honda,Honda City,7,70000,Individual,Diesel,Manual,26.0,1498,98.6,5,5.2
Hyundai,Hyundai Grand,7,35000,Individual,Petrol,Manual,18.9,1197,82.0,5,4.25
Maruti,Maruti Ciaz,6,25000,Individual,Petrol,Manual,20.73,1373,91.1,5,7.0
Hyundai,Hyundai Elantra,2,10000,Individual,Petrol,Automatic,14.62,1999,149.92,5,18.9
Maruti,Maruti Baleno,3,16348,Dealer,Petrol,Manual,21.4,1197,83.1,5,7.0
Maruti,Maruti Wagon R,8,55853,Dealer,CNG,Manual,33.54,998,67.04,5,3.49
Maruti,Maruti Baleno,4,21000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,7.45
Skoda,Skoda Superb,10,44275,Dealer,Petrol,Automatic,13.7,1798,157.75,5,5.35
Maruti,Maruti Wagon R,8,58288,Dealer,CNG,Manual,26.2,998,58.2,5,3.5
Mahindra,Mahindra KUV100,3,79814,Individual,Petrol,Manual,18.15,1198,82.0,6,5.0
BMW,BMW 5,5,27000,Dealer,Diesel,Automatic,14.69,2993,258.0,5,32.0
Hyundai,Hyundai Elantra,8,80000,Individual,Petrol,Automatic,14.5,1797,147.5,5,7.5
Hyundai,Hyundai Creta,2,38000,Individual,Diesel,Manual,22.1,1396,88.7,5,10.5
BMW,BMW 3,7,25000,Dealer,Diesel,Automatic,18.88,1995,184.0,5,16.99
Maruti,Maruti Swift,7,67800,Dealer,Diesel,Manual,28.4,1248,74.0,5,4.95
Maruti,Maruti Wagon R,11,49000,Dealer,Petrol,Manual,18.9,998,67.1,5,2.2
Honda,Honda City,5,36070,Dealer,Petrol,Manual,16.8,1497,116.3,5,7.54
Ford,Ford Figo,9,55500,Dealer,Petrol,Manual,15.6,1196,70.0,5,2.49
Skoda,Skoda Rapid,5,48000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,6.75
Hyundai,Hyundai i20,5,35000,Dealer,Petrol,Manual,18.6,1197,81.83,5,5.78
Maruti,Maruti Ertiga,4,12000,Dealer,CNG,Manual,17.5,1373,80.46,7,8.45
Datsun,Datsun RediGO,4,23000,Dealer,Petrol,Manual,22.7,799,53.64,5,3.1
Hyundai,Hyundai Creta,4,49000,Dealer,Petrol,Automatic,13.0,1591,121.3,5,11.25
Maruti,Maruti Alto,12,55274,Dealer,Petrol,Manual,19.7,796,46.3,5,1.45
Hyundai,Hyundai Santro,13,60000,Dealer,Petrol,Manual,17.8,1086,63.0,5,1.35
Skoda,Skoda Superb,11,64400,Dealer,Petrol,Automatic,13.7,1798,157.75,5,3.99
Maruti,Maruti Baleno,5,100000,Individual,Diesel,Manual,27.39,1248,74.0,5,6.5
Maruti,Maruti Swift Dzire,7,94000,Dealer,Petrol,Manual,19.1,1197,85.8,5,4.75
Maruti,Maruti Swift Dzire,9,80000,Individual,Petrol,Manual,19.1,1197,85.8,5,4.0
Honda,Honda Amaze,6,59123,Dealer,Petrol,Manual,18.0,1198,86.7,5,4.75
Volkswagen,Volkswagen Vento,9,62000,Dealer,Petrol,Manual,16.09,1598,103.2,5,3.7
Maruti,Maruti Swift Dzire,8,56694,Dealer,Petrol,Manual,19.1,1197,85.8,5,4.35
Maruti,Maruti Baleno,3,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,5.75
Hyundai,Hyundai Verna,9,78000,Dealer,Petrol,Manual,17.1,1591,121.3,5,5.0
Honda,Honda City,5,13321,Dealer,Petrol,Manual,17.8,1497,117.3,5,7.5
Mercedes-Benz,Mercedes-Benz C-Class,8,77000,Dealer,Diesel,Automatic,19.27,2143,167.62,5,10.5
Land Rover,Land Rover Rover,11,120000,Dealer,Diesel,Automatic,12.35,2179,187.74,5,21.5
Hyundai,Hyundai i20,8,70000,Individual,Diesel,Manual,21.9,1396,88.76,5,4.25
Maruti,Maruti Baleno,6,59769,Dealer,Petrol,Automatic,19.56,1197,81.8,5,5.75
Mahindra,Mahindra Bolero,2,23000,Dealer,Diesel,Manual,15.96,2523,62.1,7,8.0
